gra_year;title;distributor;producer;gra_winner
2002;The Adventures of Pluto Nash;Warner Bros.;Martin Bregman, Michael Scott Bregman, Louis A. Stroller;
2002;Crossroads;Paramount Pictures;Ann Carli;
2002;Pinocchio;Miramax Films;Gianluigi Braschi, Nicoletta Braschi, Elda Ferri;
2002;Star Wars: Episode II – Attack of the Clones;20th Century Fox;Rick McCallum, George Lucas;
2003;Gigli;Columbia Pictures, Revolution Studios;Martin Brest and Casey Silver;WINNER
2003;The Cat in the Hat;Universal Studios, DreamWorks;Brian Grazer;
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Drew Barrymore, Leonard Goldberg, Nancy Juvonen;
2003;From Justin to Kelly;20th Century Fox;John Steven Agoglia;
2003;The Real Cancun;New Line Cinema;Mary-Ellis Bunim, Jonathan Murray, Jamie Schutz, Rick de Oliveira;
2004;Catwoman;Warner Bros.;Denise Di Novi, Edward McDonnell;WINNER
2004;Alexander;Warner Bros.;Moritz Borman, Jon Kilik, Thomas Schuhly, Iain Smith;
2004;Superbabies: Baby Geniuses 2;Triumph Films;Steven Paul;
2004;Surviving Christmas;DreamWorks;Betty Thomas, Jenno Topping;
2004;White Chicks;Columbia Pictures, Revolution Studios;Rick Alvarez, Lee Mays, Keenen Ivory Wayans, Marlon Wayans, Shawn Wayans;
2005;Dirty Love;First Look Pictures;John Asher, BJ Davis, Rod Hamilton, Kimberley Kates, Michael Manasseri, Jenny McCarthy, Trent Walford;WINNER
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Adam Sandler, Rob Schneider;
2005;The Dukes of Hazzard;Warner Bros., Village Roadshow;Bill Gerber;
2005;House of Wax;;Susan Levin, Joel Silver, Robert Zemeckis;
2005;Son of the Mask;New Line Cinema;Erica Huggins, Scott Kroopf;
2006;Basic Instinct 2;MGM, C2 Pictures;Mario Kassar, Joel B. Michaels, Andrew G. Vajna;WINNER
2006;BloodRayne;Romar Entertainment;Uwe Boll, Dan Clarke, Wolfgang Herrold;
2006;Lady in the Water;Warner Bros.;Sam Mercer, Jose L. Rodriguez, M. Night Shyamalan;
2006;Little Man;Columbia Pictures, Revolution Studios;Rick Alvarez, Lee Mays, Marlon Wayans, Shawn Wayans;
2006;The Wicker Man;Warner Bros.;Nicolas Cage, Randall Emmett, Norm Golightly, Avi Lerner, Joanne Sellar;
